ds,y
2015-01-06 ,1.02842184
2015-01-07 ,0.9244577412
2015-01-08 ,0.9199700823
2015-01-09 ,0.8092744951
2015-01-10 ,0.2849663426
2015-01-11 ,0.2797307405
2015-01-12 ,1.015706806
2015-01-13 ,1.091997008
2015-01-14 ,1.128646223
2015-01-15 ,1.077786088
2015-01-16 ,0.9072550486
2015-01-17 ,0.2894540015
2015-01-18 ,0.3044128646
2015-01-19 ,1.005983545
2015-01-20 ,1.154824233
2015-01-21 ,1.15407629
2015-01-22 ,1.101720269
2015-01-23 ,0.9446522064
2015-01-24 ,0.3290949888
2015-01-25 ,0.3305908751
2015-01-26 ,1.053103964
2015-01-27 ,1.053851907
2015-01-28 ,1.002243829
2015-01-29 ,0.9708302169
2015-01-30 ,0.7673896784
2015-01-31 ,0.2744951384
2015-02-01 ,0.2408376963
2015-02-02 ,0.9349289454
2015-02-03 ,1.084517577
2015-02-04 ,1.065818998
2015-02-05 ,1.030665669
2015-02-06 ,0.8818249813
2015-02-07 ,0.3238593867
2015-02-08 ,0.3358264772
2015-02-09 ,1.121914734
2015-02-10 ,1.29394166
2015-02-11 ,1.272251309
2015-02-12 ,1.194465221
2015-02-13 ,0.9416604338
2015-02-14 ,0.2939416604
2015-02-15 ,0.3530291698
2015-02-16 ,1.105459985
2015-02-17 ,1.268511593
2015-02-18 ,1.326851159
2015-02-19 ,1.23934181
2015-02-20 ,0.98578908
2015-02-21 ,0.3373223635
2015-02-22 ,0.359012715
2015-02-23 ,1.331338818
2015-02-24 ,1.300673149
2015-02-25 ,1.287210172
2015-02-26 ,1.191473448
2015-02-27 ,0.9715781601
2015-02-28 ,0.3979057592
2015-03-01 ,0.3994016455
2015-03-02 ,1.339566193
2015-03-03 ,1.434554974
2015-03-04 ,1.378459237
2015-03-05 ,1.319371728
2015-03-06 ,1.118922962
2015-03-07 ,0.3911742708
2015-03-08 ,0.4098728497
2015-03-09 ,1.415856395
2015-03-10 ,1.468212416
2015-03-11 ,1.388930441
2015-03-12 ,1.32460733
2015-03-13 ,1.062079282
2015-03-14 ,0.3964098728
2015-03-15 ,0.3956619297
2015-03-16 ,1.439790576
2015-03-17 ,1.382198953
2015-03-18 ,1.447270007
2015-03-19 ,1.388930441
2015-03-20 ,1.173522812
2015-03-21 ,0.4098728497
2015-03-22 ,0.4502617801
2015-03-23 ,1.429319372
2015-03-24 ,1.488406881
2015-03-25 ,1.378459237
2015-03-26 ,1.418100224
2015-03-27 ,1.100972326
2015-03-28 ,0.3896783844
2015-03-29 ,0.387434555
2015-03-30 ,1.357516829
2015-03-31 ,1.379955123
2015-04-01 ,1.382198953
2015-04-02 ,1.255048616
2015-04-03 ,0.9296933433
2015-04-04 ,0.3388182498
2015-04-05 ,0.2737471952
2015-04-06 ,1.369483919
2015-04-07 ,1.507853403
2015-04-08 ,1.457741212
2015-04-09 ,1.347045625
2015-04-10 ,1.050112191
2015-04-11 ,0.3582647719
2015-04-12 ,0.3717277487
2015-04-13 ,1.460732984
2015-04-14 ,1.524308153
2015-04-15 ,1.425579656
2015-04-16 ,1.36499626
2015-04-17 ,1.169035153
2015-04-18 ,0.3762154076
2015-04-19 ,0.4106207928
2015-04-20 ,1.387434555
2015-04-21 ,1.593118923
2015-04-22 ,1.442782349
2015-04-23 ,1.331338818
2015-04-24 ,1.147344802
2015-04-25 ,0.3836948392
2015-04-26 ,0.4008975318
2015-04-27 ,1.435302917
2015-04-28 ,1.57816006
2015-04-29 ,1.611817502
2015-04-30 ,1.440538519
2015-05-01 ,1.093492895
2015-05-02 ,0.3941660434
2015-05-03 ,0.4405385191
2015-05-04 ,1.637247569
2015-05-05 ,1.716529544
2015-05-06 ,1.611817502
2015-05-07 ,1.527299925
2015-05-08 ,1.323859387
2015-05-09 ,0.3881824981
2015-05-10 ,0.3530291698
2015-05-11 ,1.712789828
2015-05-12 ,1.622288706
2015-05-13 ,1.648466717
2015-05-14 ,1.502617801
2015-05-15 ,1.187733732
2015-05-16 ,0.4532535527
2015-05-17 ,0.4121166791
2015-05-18 ,1.498878085
2015-05-19 ,1.703066567
2015-05-20 ,1.581899776
2015-05-21 ,1.486163052
2015-05-22 ,1.090501122
2015-05-23 ,0.3702318624
2015-05-24 ,0.2857142857
2015-05-25 ,0.5041136874
2015-05-26 ,1.61854899
2015-05-27 ,1.63500374
2015-05-28 ,1.501121915
2015-05-29 ,1.255048616
2015-05-30 ,0.411368736
2015-05-31 ,0.4001495886
2015-06-01 ,1.470456245
2015-06-02 ,1.690351533
2015-06-03 ,1.651458489
2015-06-04 ,1.486163052
2015-06-05 ,1.17053104
2015-06-06 ,0.3911742708
2015-06-07 ,0.3679880329
2015-06-08 ,1.4644727
2015-06-09 ,1.626028422
2015-06-10 ,1.671652954
2015-06-11 ,3.292445774
2015-06-12 ,2.278982797
2015-06-13 ,0.3844427823
2015-06-14 ,0.4323111444
2015-06-15 ,1.598354525
2015-06-16 ,1.727748691
2015-06-17 ,1.566192969
2015-06-18 ,1.428571429
2015-06-19 ,1.232610322
2015-06-20 ,0.4218399402
2015-06-21 ,0.3605086013
2015-06-22 ,1.541510845
2015-06-23 ,1.709050112
2015-06-24 ,1.496634256
2015-06-25 ,1.522812266
2015-06-26 ,1.22737472
2015-06-27 ,0.4480179506
2015-06-28 ,0.4248317128
2015-06-29 ,1.419596111
2015-06-30 ,1.53328347
2015-07-01 ,1.431563201
2015-07-02 ,1.252804787
2015-07-03 ,0.5332834705
2015-07-04 ,0.2640239342
2015-07-05 ,0.3388182498
2015-07-06 ,1.377711294
2015-07-07 ,1.660433807
2015-07-08 ,1.713537771
2015-07-09 ,1.653702319
2015-07-10 ,1.240089753
2015-07-11 ,0.4442782349
2015-07-12 ,0.4293193717
2015-07-13 ,1.528047868
2015-07-14 ,1.635751683
2015-07-15 ,1.614061331
2015-07-16 ,1.534779357
2015-07-17 ,1.237845924
2015-07-18 ,0.4397905759
2015-07-19 ,0.4435302917
2015-07-20 ,1.640239342
2015-07-21 ,1.716529544
2015-07-22 ,1.748691099
2015-07-23 ,1.591623037
2015-07-24 ,1.206432311
2015-07-25 ,0.4263275991
2015-07-26 ,0.4465220643
2015-07-27 ,1.634255797
2015-07-28 ,1.707554226
2015-07-29 ,1.670905011
2015-07-30 ,1.474195961
2015-07-31 ,1.183246073
2015-08-01 ,0.4375467464
2015-08-02 ,0.4562453254
2015-08-03 ,1.676140613
2015-08-04 ,1.792071803
2015-08-05 ,1.68960359
2015-08-06 ,1.598354525
2015-08-07 ,1.261032162
2015-08-08 ,0.4300673149
2015-08-09 ,0.5048616305
